B4,B3,B2,B5,B8,yield
24.7,2080,2054,2569.5,3285,1.885
13.425,2075,2072,2495,3312.5,1.911875
1770.5,1778,1866,1993,2637.5,1.91374999999999
12.675,2073,2043.5,2495,3153.5,1.920625
24.7,2080,2054,2569.5,3285,1.940625
2816.5,2501,2456,3063.5,3876,2.0175
18.67,1897,1911,2168,3075.5,2.066625
26.575,2150,2138.5,2615.5,3382.5,2.113125
2068,1990,2002,2452,3653,2.11749999999999
13.41,2029,2028,2388,3023.5,2.1625
2260,2024,2060,2422,3157,2.179375
22.905,1941.5,1995,2315,3042.5,2.185625
14.21,2145.5,2166,2612,3191.5,2.1875
11.9,1844.5,1897.5,2115.5,2993,2.225625
19.28,2001.5,1978,2391.5,3341,2.228125
13.3875,2196,2196,2688,3259.5,2.27125
19.845,2133,2127.5,2591.5,2975,2.293125
13.765,1909,1978.33333333333,2309,2887,2.30375
1891.5,1848,1955.5,2077.5,2658.5,2.325
23.625,1917,1952,2363,3171,2.3325
2177.5,1997.5,2054,2403,3097.5,2.341875
1907.5,1872,1907.5,2171,3074,2.354375
20.945,1873,1958.5,2183,2868,2.376875
1989,1908,1975,2244,3077,2.386875
1910,1840.5,1911,2134,2932.5,2.390625
20.945,1873,1958.5,2183,2868,2.3975
1822,1823,1892,2132,2937,2.45625
20.945,1873,1958.5,2183,2868,2.466875
26.575,2150,2138.5,2615.5,3382.5,2.48875
1990,1940,1973,2230,3049,2.5275
22.045,1850,1945,2139.5,2916,2.57375
2262.5,2057.5,2112,2506.5,3115,2.576875
32.185,2065.5,2061.5,2491,2982.5,2.66875
2262.5,2057.5,2112,2506.5,3115,2.69125
21.155,2380,2297,2932.5,3621.5,2.7075
2886.5,2411,2333.5,3103,3697,2.73625
2381,2126,2144,2505,2981,2.74
26.575,2150,2138.5,2615.5,3382.5,2.74
2832.5,2398,2330,3088.5,3714,2.755
2002,1796,1875.5,2176,2467,2.763125
2664.5,2284.5,2243,2879.5,3508,2.76625
6.975,2186,2132,2751,3384,2.76875
2691.5,2303.5,2249,2906.5,3761.5,2.780625
31.145,1911.5,1965,2260,2943.5,2.8525
22.045,1850,1945,2139.5,2916,2.87
2052,1907,1981,2252,2892,2.886875
2068,1990,2002,2452,3653,2.8875
3169.5,2554,2403,3384.5,3960.5,2.88999999999999
23.55,1819,1890.5,2155.5,2504,2.8975
19.335,2239,2215.5,2805,3424.5,2.900625
2381,2126,2144,2505,2981,2.92
2381,2126,2144,2505,2981,2.9275
18.665,1912,1939.5,2272.5,2766,2.935
2222.5,2028.5,2051,2470.5,3270,2.93874999999999
2503.5,2260,2260,2765.5,3520,3.015
2907,2482,2407.5,3146.5,3829.5,3.01875
23.65,1974.5,2039.5,2434,3105.5,3.0275
2902.5,2435,2363,3121.5,3698,3.05125
1767,1817,1891,2100,3179,3.06374999999999
20.12,2388,2289,3176,3839,3.07
2025.5,1872,1922,2206,2570.5,3.1025
2260,2024,2060,2422,3157,3.11
1808,1823,1935,2105,2933,3.12875
2628,2264.5,2259.5,2858.5,3474.5,3.15749999999999
32.185,2044,2017.5,2532.5,3143,3.21
2971,2439,2331,3204,3838,3.245
1908,1895,1941,2264,3197,3.26
19.2,2091,2112,2479,3239,3.26875
1990,1940,1973,2230,3049,3.29
21.885,2362,2296.5,2952,3690,3.31374999999999
1947,1917,1949,2297,3503,3.335
2002,1818,1893,2151.5,2511,3.3925
23.63,1925,1960,2380,2982.5,3.4125
2408.5,2166,2173.5,2663.5,3299.5,3.42625
25.585,2580,2429,3395.5,3954,3.48
1910,1871,1943,2184,3072,3.50375
1910,1832,1922.5,2157,2844,3.51499999999999
2756,2404,2280.5,3029,3894.5,3.52125
19.175,1882.5,1936,2287.5,2887.5,3.53125
25.585,1932.5,1977.5,2309.5,2934,3.54125
19.175,1882.5,1936,2287.5,2887.5,3.5425
2831.5,2405.5,2327,3040.5,3649.5,3.57875
2432.5,2175.5,2197.5,2650,3270.5,3.5875
2265,2077,2107,2488,3074,3.59999999999999
2057.5,1884.5,1943,2284.5,2826,3.62249999999999
25.45,1942.5,1979,2352.5,2907,3.6375
22.195,1826,1890.5,2302.5,2672,3.645
1795.5,1778,1889.5,2019.5,2697.5,3.66125
2027,1819,1896,2183.5,2564,3.705
2103,1995,1991,2517,3772,3.71124999999999
2152,1933,1989,2373,3009,3.73375
38.925,1976.5,1998.5,2358,2774,3.75875
25.72,1953.5,1972,2378,3016.5,3.795
23.83,2105.5,2140,2566,3222,3.79875
7.7275,2039,2096,2407,2773,3.873375
2939.5,2476.5,2362.5,3181,3952.5,3.88875
2054,1956,1985,2372,3348,3.91625
35.455,1935.5,1945.5,2317.5,2723.5,3.92625
25.45,1942.5,1979,2352.5,2907,3.94875
2582,2338,2336.5,2776,3450.5,3.95375
2030.5,1812,1891,2204.5,2494.5,3.97125
2539.5,2219,2236,2764,3372,4.01375
2408.5,2166,2173.5,2663.5,3299.5,4.0275
19.95,1912.5,1966,2243.5,2656,4.0425
2002,1796,1875.5,2176,2467,4.06625
2152,1933,1989,2373,3009,4.1025
1955.5,1913.5,1987.5,2215.5,2906,4.125
33.03,1909,1953,2391,3037,4.18624999999999
2628,2264.5,2259.5,2858.5,3474.5,4.19375
2855.5,2365,2297.5,3069,3666.5,4.19375
29.175,2047,2042,2457,3184,4.21875
2184.5,1942.5,1964.5,2425.5,2963,4.22875
27.445,2345,2275,3030.5,3694,4.22875
2678.5,2314,2282.5,2889,3488.5,4.25625
27.09,2372,2319.5,3046,3640,4.2725
1883,1851,1939,2132,2768,4.28625
29.895,1810.5,1878,2168.5,2620.5,4.29625
22.195,1826,1890.5,2302.5,2672,4.31
22.195,1826,1890.5,2302.5,2672,4.32125
2063,1931,1948.5,2288.5,2876.5,4.3325
39.32,1896.5,1938.5,2218.5,2689,4.33625
25.585,1932.5,1977.5,2309.5,2934,4.35499999999999
18.665,1912,1939.5,2272.5,2766,4.3575
36.73,1884,1918,2240,3366,4.3725
2468,2187.5,2207,2680.5,3387.5,4.38125
36.82,2082,2027,2710,3221,4.3825
35.455,1935.5,1945.5,2317.5,2723.5,4.39125
1765,1831,1896,2121,3211,4.4
30.39,1950,1984.5,2321.5,2909.5,4.43624999999999
2002,1796,1875.5,2176,2467,4.4425
2293,2067,2104,2425,2935,4.4525
2085.5,1896,1937.5,2267.5,2774.5,4.4925
1887,1876,1937,2206,3081,4.56625
25.72,1953.5,1972,2378,3016.5,4.5675
2104,1926,1945.5,2305,2837,4.5725
1698,1765,1879,1971,2921,4.595
1983,1821.5,1886.5,2172.5,2708.5,4.5975
28.925,1831,1905,2251.5,2754,4.59875
27.485,2303.5,2266,2872,3585.5,4.6325
2141,1980.5,1987.5,2340.5,2880,4.6375
29.895,1810.5,1878,2168.5,2620.5,4.6425
30.025,1934.5,1946.5,2315,2909,4.64625
1999,1884,1926,2280,3018,4.66125
1991,1827.5,1889,2192,2606,4.66625
2201,1878.5,1921,2403.5,2877,4.69875
2800.5,2379.5,2333.5,3007.5,3545,4.71625
1775.5,1727,1859.5,1962,2355.5,4.71625
2985,2485,2385,3201,3802,4.73375
28.5,1908.5,1929,2256.5,2820,4.765
29.54,2251.5,2256,2766.5,3589,4.81625
34.505,1876,1959,2273,2839.5,4.82375
1887,1876,1937,2206,3081,4.82625
